,state,candidate,party_detailed,candidatevotes,totalvotes
1304,Alabama,"BUSH, GEORGE H.W.",Republican,804283,1688060
1305,Alabama,"CLINTON, BILL",Democrat,690080,1688060
1310,Alaska,"BUSH, GEORGE H.W.",Republican,102000,258506
1311,Alaska,"CLINTON, BILL",Democrat,78294,258506
1320,Arizona,"BUSH, GEORGE H.W.",Republican,572086,1486975
1321,Arizona,"CLINTON, BILL",Democrat,543050,1486975
1328,Arkansas,"CLINTON, BILL",Democrat,505823,950653
1329,Arkansas,"BUSH, GEORGE H.W.",Republican,337324,950653
1332,California,"CLINTON, BILL",Democrat,5121325,11131721
1333,California,"BUSH, GEORGE H.W.",Republican,3630574,11131721
1339,Colorado,"CLINTON, BILL",Democrat,629681,1569180
1340,Colorado,"BUSH, GEORGE H.W.",Republican,562850,1569180
1348,Connecticut,"CLINTON, BILL",Democrat,682318,1616156
1349,Connecticut,"BUSH, GEORGE H.W.",Republican,578313,1616156
1353,Delaware,"CLINTON, BILL",Democrat,126054,289620
1354,Delaware,"BUSH, GEORGE H.W.",Republican,102313,289620
1358,District of Columbia,"CLINTON, BILL",Democrat,192619,227572
1359,District of Columbia,"BUSH, GEORGE H.W.",Republican,20698,227572
1368,Florida,"BUSH, GEORGE H.W.",Republican,2173310,5313392
1369,Florida,"CLINTON, BILL",Democrat,2071698,5313392
1373,Georgia,"CLINTON, BILL",Democrat,1008966,2321133
1374,Georgia,"BUSH, GEORGE H.W.",Republican,995252,2321133
1378,Hawaii,"CLINTON, BILL",Democrat,179310,372842
1379,Hawaii,"BUSH, GEORGE H.W.",Republican,136822,372842
1385,Idaho,"BUSH, GEORGE H.W.",Republican,202645,482114
1386,Idaho,"CLINTON, BILL",Democrat,137013,482114
1390,Illinois,"CLINTON, BILL",Democrat,2453350,5050157
1391,Illinois,"BUSH, GEORGE H.W.",Republican,1734096,5050157
1399,Indiana,"BUSH, GEORGE H.W.",Republican,989375,2305871
1400,Indiana,"CLINTON, BILL",Democrat,848420,2305871
1405,Iowa,"CLINTON, BILL",Democrat,586353,1354607
1406,Iowa,"BUSH, GEORGE H.W.",Republican,504891,1354607
1419,Kansas,"BUSH, GEORGE H.W.",Republican,449951,1157236
1420,Kansas,"CLINTON, BILL",Democrat,390434,1157236
1424,Kentucky,"CLINTON, BILL",Democrat,665104,1492900
1425,Kentucky,"BUSH, GEORGE H.W.",Republican,617178,1492900
1432,Louisiana,"CLINTON, BILL",Democrat,815971,1790017
1433,Louisiana,"BUSH, GEORGE H.W.",Republican,733386,1790017
1443,Maine,"CLINTON, BILL",Democrat,263420,679499
1445,Maine,"BUSH, GEORGE H.W.",Republican,206504,679499
1450,Maryland,"CLINTON, BILL",Democrat,988571,1984580
1451,Maryland,"BUSH, GEORGE H.W.",Republican,707094,1984580
1455,Massachusetts,"CLINTON, BILL",Democrat,1318639,2773664
1456,Massachusetts,"BUSH, GEORGE H.W.",Republican,805039,2773664
1466,Michigan,"CLINTON, BILL",Democrat,1871182,4274673
1467,Michigan,"BUSH, GEORGE H.W.",Republican,1554940,4274673
1474,Minnesota,"CLINTON, BILL",Democrat,1020997,2347948
1475,Minnesota,"BUSH, GEORGE H.W.",Republican,747841,2347948
1486,Mississippi,"BUSH, GEORGE H.W.",Republican,487793,981793
