,state,candidate,party_simplified,candidatevotes,totalvotes
3395,Alabama,"TRUMP, DONALD J.",Republican,1318255,2123372
3396,Alabama,"CLINTON, HILLARY",Democrat,729547,2123372
3400,Alaska,"TRUMP, DONALD J.",Republican,163387,318608
3401,Alaska,"CLINTON, HILLARY",Democrat,116454,318608
3407,Arizona,"TRUMP, DONALD J.",Republican,1252401,2573165
3408,Arizona,"CLINTON, HILLARY",Democrat,1161167,2573165
3414,Arizona,,Democrat,42,2573165
3417,Arkansas,"TRUMP, DONALD J.",Republican,684872,1130635
3418,Arkansas,"CLINTON, HILLARY",Democrat,380494,1130635
3425,California,"CLINTON, HILLARY",Democrat,8753788,14181595
3426,California,"TRUMP, DONALD J.",Republican,4483810,14181595
3431,Colorado,"CLINTON, HILLARY",Democrat,1338870,2780220
3432,Colorado,"TRUMP, DONALD J.",Republican,1202484,2780220
3451,Connecticut,"CLINTON, HILLARY",Democrat,897572,1644920
3452,Connecticut,"TRUMP, DONALD J.",Republican,673215,1644920
3456,Delaware,"CLINTON, HILLARY",Democrat,235603,441590
3457,Delaware,"TRUMP, DONALD J.",Republican,185127,441590
3460,District of Columbia,"CLINTON, HILLARY",Democrat,282830,312575
3461,District of Columbia,"TRUMP, DONALD J.",Republican,12723,312575
3467,Florida,"TRUMP, DONALD J.",Republican,4617886,9420039
3468,Florida,"CLINTON, HILLARY",Democrat,4504975,9420039
3474,Georgia,"TRUMP, DONALD J.",Republican,2089104,4114732
3475,Georgia,"CLINTON, HILLARY",Democrat,1877963,4114732
3478,Hawaii,"CLINTON, HILLARY",Democrat,266891,437664
3479,Hawaii,"TRUMP, DONALD J.",Republican,128847,437664
3485,Idaho,"TRUMP, DONALD J.",Republican,409055,690255
3486,Idaho,"CLINTON, HILLARY",Democrat,189765,690255
3490,Illinois,"CLINTON, HILLARY",Democrat,3090729,5536424
3491,Illinois,"TRUMP, DONALD J.",Republican,2146015,5536424
3495,Indiana,"TRUMP, DONALD J.",Republican,1557286,2734958
3496,Indiana,"CLINTON, HILLARY",Democrat,1033126,2734958
3502,Iowa,"TRUMP, DONALD J.",Republican,800983,1565580
3503,Iowa,"CLINTON, HILLARY",Democrat,653669,1565580
3512,Kansas,"TRUMP, DONALD J.",Republican,671018,1184402
3513,Kansas,"CLINTON, HILLARY",Democrat,427005,1184402
3517,Kentucky,"TRUMP, DONALD J.",Republican,1202971,1924149
3518,Kentucky,"CLINTON, HILLARY",Democrat,628854,1924149
3524,Louisiana,"TRUMP, DONALD J.",Republican,1178638,2029032
3525,Louisiana,"CLINTON, HILLARY",Democrat,780154,2029032
3529,Maine,"CLINTON, HILLARY",Democrat,357735,771892
3530,Maine,"TRUMP, DONALD J.",Republican,335593,771892
3535,Maryland,"CLINTON, HILLARY",Democrat,1677928,2781446
3536,Maryland,"TRUMP, DONALD J.",Republican,943169,2781446
3542,Maryland,"TRUMP, DONALD J.",Republican,259,2781446
3543,Maryland,"CLINTON, HILLARY",Democrat,78,2781446
3544,Massachusetts,"CLINTON, HILLARY",Democrat,1995196,3378821
3545,Massachusetts,"TRUMP, DONALD J.",Republican,1090893,3378821
3551,Michigan,"TRUMP, DONALD J.",Republican,2279543,4799284
3552,Michigan,"CLINTON, HILLARY",Democrat,2268839,4799284
3558,Minnesota,"CLINTON, HILLARY",Democrat,1367705,2944782
3559,Minnesota,"TRUMP, DONALD J.",Republican,1322949,2944782
3568,Mississippi,"TRUMP, DONALD J.",Republican,700714,1209357
3569,Mississippi,"CLINTON, HILLARY",Democrat,485131,1209357
3575,Missouri,"TRUMP, DONALD J.",Republican,1594511,2808605
3576,Missouri,"CLINTON, HILLARY",Democrat,1071068,2808605
3581,Montana,"TRUMP, DONALD J.",Republican,279240,494526
3582,Montana,"CLINTON, HILLARY",Democrat,177709,494526
3586,Nebraska,"TRUMP, DONALD J.",Republican,495961,844227
3587,Nebraska,"CLINTON, HILLARY",Democrat,284494,844227
3591,Nevada,"CLINTON, HILLARY",Democrat,539260,1125385
3592,Nevada,"TRUMP, DONALD J.",Republican,512058,1125385
3597,New Hampshire,"CLINTON, HILLARY",Democrat,348526,744296
3598,New Hampshire,"TRUMP, DONALD J.",Republican,345790,744296
3604,New Jersey,"CLINTON, HILLARY",Democrat,2148278,3874046
3605,New Jersey,"TRUMP, DONALD J.",Republican,1601933,3874046
3613,New Mexico,"CLINTON, HILLARY",Democrat,385234,798319
3614,New Mexico,"TRUMP, DONALD J.",Republican,319667,798319
3621,New York,"CLINTON, HILLARY",Democrat,4379789,7802084
3622,New York,"TRUMP, DONALD J.",Republican,2527142,7802084
3633,North Carolina,"TRUMP, DONALD J.",Republican,2362631,4741564
3634,North Carolina,"CLINTON, HILLARY",Democrat,2189316,4741564
3638,North Dakota,"TRUMP, DONALD J.",Republican,216794,344360
3639,North Dakota,"CLINTON, HILLARY",Democrat,93758,344360
3645,Ohio,"TRUMP, DONALD J.",Republican,2841005,5496487
3646,Ohio,"CLINTON, HILLARY",Democrat,2394164,5496487
3650,Oklahoma,"TRUMP, DONALD J.",Republican,949136,1452992
3651,Oklahoma,"CLINTON, HILLARY",Democrat,420375,1452992
3653,Oregon,"CLINTON, HILLARY",Democrat,1002106,2001336
3654,Oregon,"TRUMP, DONALD J.",Republican,782403,2001336
3658,Pennsylvania,"TRUMP, DONALD J.",Republican,2970733,6115402
3659,Pennsylvania,"CLINTON, HILLARY",Democrat,2926441,6115402
3663,Rhode Island,"CLINTON, HILLARY",Democrat,252525,464144
3664,Rhode Island,"TRUMP, DONALD J.",Republican,180543,464144
3669,South Carolina,"TRUMP, DONALD J.",Republican,1155389,2103027
3670,South Carolina,"CLINTON, HILLARY",Democrat,855373,2103027
3676,South Dakota,"TRUMP, DONALD J.",Republican,227721,370093
3677,South Dakota,"CLINTON, HILLARY",Democrat,117458,370093
3680,Tennessee,"TRUMP, DONALD J.",Republican,1522925,2508027
3681,Tennessee,"CLINTON, HILLARY",Democrat,870695,2508027
3684,Texas,"TRUMP, DONALD J.",Republican,4685047,8969226
3685,Texas,"CLINTON, HILLARY",Democrat,3877868,8969226
3689,Utah,"TRUMP, DONALD J.",Republican,515211,1131317
3690,Utah,"CLINTON, HILLARY",Democrat,310674,1131317
3695,Vermont,"CLINTON, HILLARY",Democrat,178573,320467
3696,Vermont,"TRUMP, DONALD J.",Republican,95369,320467
3704,Virginia,"CLINTON, HILLARY",Democrat,1981473,3982752
3705,Virginia,"TRUMP, DONALD J.",Republican,1769443,3982752
3710,Washington,"CLINTON, HILLARY",Democrat,1742718,3317019
3711,Washington,"TRUMP, DONALD J.",Republican,1221747,3317019
3718,West Virginia,"TRUMP, DONALD J.",Republican,489371,713051
3719,West Virginia,"CLINTON, HILLARY",Democrat,188794,713051
3723,Wisconsin,"TRUMP, DONALD J.",Republican,1405284,2976150
3724,Wisconsin,"CLINTON, HILLARY",Democrat,1382536,2976150
3732,Wyoming,"TRUMP, DONALD J.",Republican,174419,258788
3733,Wyoming,"CLINTON, HILLARY",Democrat,55973,258788
